Date;P;T;IRA;IRI;Qobs;FlowObs
2011-01-01;0.0;24.94;0.0;0.0;0.251;2.483
2011-01-02;15.7;23.44;0.0;0.0;0.238;2.361
2011-01-03;8.15;24.04;0.0;0.0;0.204;2.018
2011-01-04;0.0;25.64;2.0;0.0;0.154;1.522
2011-01-05;0.0;26.8;0.0;0.0;0.128;1.268
2011-01-06;27.95;27.12;0.0;3.0;1.043;10.322
2011-01-07;8.95;27.64;0.0;0.0;0.873;8.64
2011-01-08;0.0;26.76;0.0;0.0;0.792;7.838
2011-01-09;4.9;27.28;0.0;0.0;0.714;7.062
2011-01-10;3.3;25.84;0.0;0.0;0.675;6.685
2011-01-11;1.25;25.2;0.0;0.0;0.638;6.314
2011-01-12;3.5;23.88;0.0;0.0;0.565;5.596
2011-01-13;13.9;24.2;0.0;0.0;0.496;4.907
2011-01-14;1.05;25.84;0.0;0.0;0.429;4.249
2011-01-15;9.4;26.28;0.0;0.0;0.366;3.624
2011-01-16;0.0;28.96;0.0;0.0;0.306;3.034
2011-01-17;2.5;25.36;0.0;0.0;0.251;2.483
2011-01-18;26.35;24.6;0.0;0.0;1.412;13.975
2011-01-19;0.0;26.08;0.0;0.0;0.914;9.051
2011-01-20;2.6;24.64;0.0;0.0;0.513;5.076
2011-01-21;0.0;25.64;0.0;0.0;0.336;3.324
2011-01-22;2.9;25.84;0.0;0.0;0.251;2.483
2011-01-23;0.0;26.04;0.0;0.0;0.238;2.361
2011-01-24;0.0;26.76;0.0;0.0;0.215;2.128
2011-01-25;6.5;28.2;0.0;0.0;0.215;2.128
2011-01-26;4.4;26.24;0.0;0.0;0.583;5.772
2011-01-27;4.85;26.48;0.0;0.0;0.565;5.596
2011-01-28;2.4000000000000004;27.24;0.0;0.0;0.513;5.076
2011-01-29;7.7;27.28;0.0;0.0;0.462;4.574
2011-01-30;9.25;26.24;0.0;0.0;0.397;3.932
2011-01-31;0.0;27.28;0.0;0.0;0.397;3.932
2011-02-01;28.9;24.96;0.0;0.0;1.87;18.509
2011-02-02;0.0;23.18;0.0;0.0;1.154;11.423
2011-02-03;0.0;25.46;0.0;0.0;0.675;6.685
2011-02-04;0.25;27.28;0.0;0.0;0.53;5.247
2011-02-05;4.85;26.48;0.0;0.0;0.462;4.574
2011-02-06;0.0499999999999998;26.0;0.0;0.0;0.397;3.932
2011-02-07;1.6;25.36;0.0;0.0;0.397;3.932
2011-02-08;17.05;26.6;0.0;0.0;0.366;3.624
2011-02-09;4.45;26.0;0.0;0.0;0.336;3.324
2011-02-10;1.95;23.84;0.0;0.0;1.56;15.438
2011-02-11;4.55;24.0;0.0;0.0;1.978;19.574
2011-02-12;17.85;22.12;0.0;0.0;3.266;32.326
2011-02-13;47.45;23.72;0.0;0.0;5.033;49.815
2011-02-14;0.0;23.56;0.0;0.0;3.175;31.429
2011-02-15;0.0;21.62;0.0;0.0;1.978;19.574
2011-02-16;0.0;24.1;0.0;0.0;1.87;18.509
2011-02-17;0.0;25.8;0.0;0.0;1.713;16.95
2011-02-18;0.0;25.96;0.0;0.0;1.51;14.945
2011-02-19;0.0;26.36;0.0;0.0;1.34;13.262
2011-02-20;21.05;26.12;0.0;0.0;1.087;10.758
2011-02-21;0.0;24.48;0.0;0.0;0.914;9.051
2011-02-22;6.25;23.88;0.0;0.0;0.752;7.446
2011-02-23;10.8;22.6;0.0;0.0;0.638;6.314
2011-02-24;16.200000000000006;26.28;0.0;0.0;0.601;5.951
2011-02-25;1.75;25.32;0.0;0.0;0.496;4.907
2011-02-26;8.299999999999999;23.4;0.0;0.0;0.429;4.249
2011-02-27;7.55;22.96;0.0;0.0;0.336;3.324
2011-02-28;0.0;21.66;0.0;0.0;0.238;2.361
2011-03-01;0.0;21.78;0.0;0.0;0.163;1.614
2011-03-02;0.0;21.82;0.0;0.0;0.128;1.268
